show_id,Year,Name
s8056,2003,Something's Gotta Give
s6642,1996,Dragonheart
s568,1995,Congo
s7954,1989,Scandal
s601,1997,The Game
s8111,2002,Stuart Little 2
s6449,1973,Charlotte's Web
s1945,1999,Mann
s3530,2002,Evelyn
s3751,2000,Leila
s6451,1997,Chasing Amy
s8625,2004,Tremors 4: The Legend Begins
s300,1978,The Swarm
s8306,2000,The Flintstones in Viva Rock Vegas
s8092,2004,Still
s25,1998,Jeans
s4006,1999,Girl
s7199,2004,Kill Bill: Vol. 2
s3063,2001,Jimmy Neutron: Boy Genius
s5363,1979,The In-Laws
s2885,2000,The Visit
s6136,1999,American Beauty
s789,2001,Domestic Disturbance
s42,1975,Jaws
s7331,1976,Logan's Run
s7400,1999,Mansfield Park
s638,2004,Ray
s2897,2000,The Body
s2208,1930,Animal Crackers
s6942,2001,Haven
s6736,1998,Fallen
s2111,2002,Scarecrow
s3238,1975,Brother
s8250,1965,The Cincinnati Kid
s171,1997,Rhyme & Reason
s4953,2004,Main Hoon Na
s3132,2001,Dil Chahta Hai
s2356,1994,Disclosure
s7209,2005,King's Ransom
s7115,2001,Jackpot
s6511,2005,Coach Carter
s2721,1980,Dostana
s49,2001,Training Day
s7531,1935,Mutiny on the Bounty
s5332,1993,Naked
s7250,2004,Kyun! Ho Gaya Na
s151,1999,In Too Deep
s6255,1972,Bawarchi
s7913,2003,S.W.A.T.
s8004,1954,Sherlock Holmes
s583,1980,Mother's Day
s4277,1994,Wolf
s7245,1998,Kurt & Courtney
s268,1993,The Piano
s2276,1991,Hook
s5089,2001,The House Next Door
s4274,2001,Perfume
s7756,1936,Popeye
s8131,1999,Superstar
s7884,1990,Rocky V
s8188,1995,The American President
s7863,2002,Revenge
s5363,2003,The In-Laws
s4376,1985,Target
s6493,1981,Clash of the Titans
s8603,2001,Tom and Jerry: The Magic Ring
s8615,1995,Trainspotting
s2590,1998,Psycho
s6878,1996,Good Luck
s7895,1968,Rosemary's Baby
s6716,2001,Evolution
s8062,1998,Sour Grapes
s8189,1979,The Amityville Horror
s8065,2004,Spartacus
s6019,2004,50 First Dates
s5530,1998,Slam
s6609,1964,Diary of a Chambermaid
s6793,1994,Four Weddings and a Funeral
s956,1992,Under Siege
s8527,1999,The Talented Mr. Ripley
s6362,2002,Borderline
s2546,1994,Andaz Apna Apna
s783,1997,Bliss
s1815,1997,Rebecca
s4766,1997,Nothing to Lose
s585,2001,Not Another Teen Movie
s6799,1993,Free Willy
s165,1999,Mystery Men
s6248,1998,BASEketball
s4582,1998,Lock
s6212,1995,Bad Boys
s6310,2002,Biggie & Tupac
s1052,2003,Sonic X
s8284,2000,The Duel
s7963,2000,Scream 3
s6438,1999,Center Stage
s533,1996,Scream
s7996,1990,Shanghai
s7306,1992,Like Water for Chocolate
s128,2004,A Cinderella Story
s345,1994,My Girl 2
s7862,2005,Revelations
s6723,2001,Exit Wounds
s2958,1994,Hum Aapke Hain Koun
s2735,1998,Kuch Kuch Hota Hai
s3941,2001,Quicksand
s7126,2001,Jericho
s4956,2005,Paheli
s8236,2000,The Calling
s7621,1999,Now and Then
s4671,1973,Sisters
s8076,2002,Spy Kids 2: The Island of Lost Dreams
s7945,1981,Satte Pe Satta
s7316,1998,Little Men
s7849,2000,Refugee
s1139,2002,The Pianist
s8402,1974,The Longest Yard
s3548,1986,Back to School
s6497,1973,Cleopatra Jones
s6640,2003,Dr. Seuss' The Cat in the Hat
s6214,2004,Bad Education
s5334,1966,The Saint
s7621,2002,Now and Then
s7225,1972,Koshish
s1161,1998,Croupier
s531,1994,Richie Rich
s6640,1957,Dr. Seuss' The Cat in the Hat
s1306,2002,Awara Paagal Deewana
s6115,1996,Alive and Kicking
s815,1981,The Four Seasons
s427,1989,Cousins
s6782,1977,For the Love of Benji
s7317,2000,Little Nicky
s2555,2004,The Hollow
s6563,1997,Dante's Peak
s2732,2001,Kabhi Khushi Kabhie Gham
s7161,1981,Kaalia
s6620,1965,Doctor Zhivago
s5196,2002,Together
s7462,1990,Mirror Mirror
s3858,1998,Last Breath
s1571,2004,Once Upon a Time
s6082,2002,About a Boy
s5143,2004,Monster Island
s7994,1986,Shaka Zulu
s7444,2002,Men in Black II
s8075,2001,Spy Kids
s5004,1999,Ravenous
s2798,1998,Vampires
s4206,1924,The Last Laugh
s6213,2003,Bad Boys II
s4727,2001,Highway
s8189,2005,The Amityville Horror
s1643,1988,The Beast
s3046,1931,Dracula
s947,1994,Stargate
